set_id,design_id,label,stable,axis_null_count,channel_axis_null_count,wall_cusp_count,cell_count,four_wall_cusps,four_cells,wall_cusp_z_m,wall_cusp_z_over_length,cell_lengths_m,wall_mirror_ratio_min,wall_mirror_ratio_max,axis_mirror_ratio_min,axis_mirror_ratio_max,angle_to_wall_normal_deg_min,angle_to_wall_normal_deg_max,max_wall_intersection_shift_m,max_axis_null_shift_m,wall_radius_m,chamber_length_m,stage_pitch_m,stage_count
sweep_v2,l1a-gs-v2-000-48d2ccedd5,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,4,2,2,3,False,False,0.003627979849237588;0.007764660591564771,0.31824384642434983;0.681110578207436,0.003627979849237588;0.004136680742327183;0.0036353394084352297,1.0009498820496954,1.8723998240176192,0.5038277468422078,0.6385345138851382,0.06103283076938087,0.3823279389578946,1.4029604078810449e-05,7.778511111002431e-06,0.0014,0.0114,0.0038,3
sweep_v2,l1a-gs-v2-001-0830ddda40,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,6,3,3,4,False,True,0.006266245639016116;0.013143015997934744;0.019357758291711283,0.1928075581235728;0.404400492244146;0.5956233320526548,0.006266245639016116;0.006876770358918628;0.006214742293776538;0.004042241708288718,1.0,1.0319133426970881,0.5520977041688346,0.667441367788447,1.1043606701085975,1.1528511935940657,5.21823352272327e-06,4.395481276647795e-06,0.0022,0.0325,0.0065,5
sweep_v2,l1a-gs-v2-002-48c4d2e317,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.00500805686984908;0.010300652063986056;0.01559246359192356,0.2431095567887903;0.5000316535915561;0.7569157083458039,0.00500805686984908;0.005292595194136976;0.005291811527937503;0.0021235364080764395,1.0,1.277038327782693,0.5770309280547664,0.6283741121182825,0.023964203655346704,0.7059906598602508,8.034201088230998e-06,9.602764168652016e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-003-b98d8da7bf,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,4,2,2,3,False,False,0.0062740037839960254;0.01323013126362025,0.32174378379466795;0.6784682699292436,0.0062740037839960254;0.006956127479624224;0.00626986873637975,1.001783206062176,1.919798520975172,0.4067878338652305,0.5077992670339517,1.016913782299113,1.0793719716402517,1.1348959779415476e-05,6.997695503135025e-06,0.0022,0.0195,0.0065,3
sweep_v2,l1a-gs-v2-004-72b1c5ba70,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,6,3,3,4,False,True,0.0036489590361336805;0.00773754337163568;0.011265750878234414,0.19205047558598315;0.40723912482293045;0.5929342567491795,0.0036489590361336805;0.004088584335502;0.0035282075065987337;0.0024142491217655875,1.0,1.0169150479177655,0.5962206024223515,0.786359233471246,0.9154027735207568,1.842053259430247,1.956618558875134e-05,1.624934349415963e-05,0.0014,0.019000000000000003,0.0038000000000000004,5
sweep_v2,l1a-gs-v2-005-942c2d458e,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,4,2,2,3,False,False,0.004906945574150934;0.010544255377055306,0.31760165528485007;0.6824760761848094,0.004906945574150934;0.005637309802904372;0.002742744622944694,1.0,1.3556302920953576,0.5273599025967474,0.6691274644871984,1.4701105888591637,1.5193858467645993,1.1058411348148457e-05,1.1175714769503554e-05,0.0018,0.01545,0.00515,3
sweep_v2,l1a-gs-v2-006-110b30a28a,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,6,4,4,5,True,False,0.004965669616978371;0.010403607832530757;0.015348745371129192;0.02078184227057713,0.19284153852343186;0.40402360514682545;0.5960677814030754;0.807061835750568,0.004965669616978371;0.005437938215552386;0.0049451375385984354;0.005433096899447936;0.001363157729422873,1.0,1.3114228440792692,0.5554828518567922,0.6654868376752905,0.8395182675307004,1.1467858073012371,9.675898759432333e-06,1.0403433892255e-05,0.0018,0.025750000000000002,0.00515,5
sweep_v2,l1a-gs-v2-007-9ea145255a,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.003729230720090614;0.007598430990624714;0.01147356653972076,0.24534412632175093;0.4998967756989943;0.7548399039289974,0.003729230720090614;0.0038692002705341;0.0038751355490960464;0.0015984334602792399,1.0,1.0162997935534361,0.8089369144820214,0.9231461116828014,0.0349525202685392,0.25581887480403953,1.19198729474977e-05,1.0624957697775994e-05,0.0018,0.0152,0.0038,4
sweep_v2,l1a-gs-v2-008-b45d1d67d2,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.006340425599550184;0.012999067879003496;0.019663496252040558,0.24386252305962247;0.4999641491924422;0.7562883173861753,0.006340425599550184;0.006658642279453312;0.006664428373037061;0.0026965037479594403,1.0,1.5614593650769246,0.4179186185676268,0.48317083540733674,0.010183844580229723,0.6138510377283404,7.345952689287883e-06,6.118593866833583e-06,0.0018,0.026,0.0065,4
sweep_v2,l1a-gs-v2-009-4d592518ca,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005012109091951435;0.010298475366348911;0.015589574939804564,0.2433062665995842;0.4999259886577141;0.7567754825147847,0.005012109091951435;0.005286366274397476;0.005291099573455653;0.002126425060195435,1.0,1.3441036701688263,0.5515564031155178,0.6056995238409836,0.005634052727899562,0.5121421342123421,1.0252972512368036e-05,8.24925897177425e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-010-7aa8cd8bce,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005007485945959103;0.010298104792530387;0.015595081667802454,0.24308184203684963;0.49990799963739746;0.7570427994078861,0.005007485945959103;0.005290618846571285;0.005296976875272067;0.002120918332197545,1.0,1.1725123771134829,0.59669417227521,0.6475224273449111,0.023998016434430378,0.9746222514660209,1.0745534610695278e-05,8.813212043603906e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-011-eabda2c05f,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005007952014288928;0.01030096951268589;0.01559168212403099,0.24310446671305475;0.500047063722616;0.7568777730112131,0.005007952014288928;0.005293017498396962;0.005290712611345099;0.0021243178759690097,1.0,1.2524931272673092,0.4191778335865969,0.4730084733185174,0.021769769334077458,0.5994936723767754,7.683310605881809e-06,9.429307602759705e-06,0.0014,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-012-861e265ea9,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005013398487920599;0.010300348319667701;0.01558795331136064,0.2433688586369223;0.5000169087217331;0.7566967626874097,0.005013398487920599;0.005286949831747102;0.005287604991692939;0.002128046688639359,1.0,1.298321586360031,0.7634440417485414,0.7908395925384083,0.026398350501296176,0.6623105826683129,1.5844557586386018e-05,1.6595924518899262e-05,0.0022,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-013-1a5f2faf5b,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.0050089859341937056;0.010300843434769023;0.015591006499027258,0.24315465699969444;0.5000409434353895;0.7568449756809349,0.0050089859341937056;0.005291857500575318;0.005290163064258235;0.002124993500972741,1.0,1.3851189088127782,0.5715507174326291,0.6324274037109754,0.025495609552857807,0.7011230752117402,1.9011605360190345e-05,1.8697332254506704e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-014-454d5ec089,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005007696964982742;0.01030047642261263;0.015593305430064002,0.24309208567877388;0.5000231273112927;0.7569565742749516,0.005007696964982742;0.005292779457629888;0.005292829007451372;0.0021226945699359973,1.0,1.1861490380102921,0.5812655398016795,0.6224655211579976,0.022619796906195228,0.6795679252682676,1.3170183378484555e-05,1.347556865463704e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-015-691452be4d,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005009196359461368;0.010300866762674128;0.015590731668986101,0.243164871818513;0.5000420758579673;0.756831634416801,0.005009196359461368;0.005291670403212759;0.005289864906311973;0.002125268331013898,0.9999999999999996,1.3988378796184866,0.5707777197939378,0.6326100618265063,0.02569844702007666,0.6959646466338333,1.5876969649985693e-05,1.5875110144002256e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-016-9e4e222280,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005007744157035655;0.01030044871356157;0.015593334099877868,0.2430943765551289;0.5000217822117267;0.7569579660134887,0.005007744157035655;0.005292704556525914;0.005292885386316299;0.0021226659001221306,1.0,1.1727247820140643,0.5819320420982063,0.6214264127433632,0.02244200930910577,0.6736493242107932,5.830223913030116e-06,6.157375561694281e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-017-55712611a0,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005008041982779362;0.010300935351639982;0.015591688474184977,0.243108834115503;0.5000454054194166;0.7568780812711153,0.005008041982779362;0.00529289336886062;0.0052907531225449955;0.002124311525815022,1.0,1.4457047652271626,0.5712024060414023,0.6405521086476963,0.026115048852480168,0.7933900312559159,9.412309276280026e-06,1.0936744834503121e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-018-99a8ddb38f,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005013437976889826;0.010300400042296296;0.015587777349271944,0.243370775577176;0.5000194195289465;0.7566882208384439,0.005013437976889826;0.00528696206540647;0.005287377306975647;0.0021282226507280556,0.9999999999999996,1.153785966331912,0.5826889476025598,0.614395404012968,0.02347274187608393,0.5627275784631476,1.2556216581153992e-05,1.2580839490207267e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-019-9166fdf853,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005008056869849079;0.010300652063986056;0.01559246359192356,0.24310955678879026;0.5000316535915561;0.7569157083458039,0.005008056869849079;0.005292595194136977;0.005291811527937503;0.0021235364080764395,1.0,1.277038327782704,0.5770309280547685,0.628374112118284,0.023964203655345455,0.7059906598603077,8.034201088232083e-06,9.602764168652016e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-020-b517ae2748,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.005008056869849081;0.010300652063986056;0.01559246359192356,0.24310955678879034;0.5000316535915561;0.7569157083458039,0.005008056869849081;0.005292595194136975;0.005291811527937503;0.0021235364080764395,1.0,1.2770383277826918,0.577030928054768,0.6283741121182838,0.023964203655325186,0.7059906598602865,8.03420108822883e-06,9.602764168652016e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-021-5e0b38a851,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.0050122245886952835;0.010301204994766524;0.015586756080553715,0.24331187323763512;0.5000584948915788;0.7566386446870735,0.0050122245886952835;0.00528898040607124;0.005285551085787191;0.005013243919446285,1.0,1.6082744388777583,0.5574698386734911,0.6310762230719366,0.028226028596555663,0.5705403427411162,1.859881834333308e-05,1.840270538296931e-05,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-022-4a12458d8a,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,2,2,3,False,False,0.00500805686984908;0.010300652063986056,0.2431095567887903;0.5000316535915561,0.00500805686984908;0.005292595194136976;0.004531347936013943,1.0,1.277038327782693,0.5797071055733443,0.6282317078877385,0.023964203655346704,0.6414451878392683,8.034201088230998e-06,9.602764168652016e-06,0.0018,0.0206,0.00515,4
sweep_v2,l1a-gs-v2-023-09c1438b40,SCREENING_L1A_FIELD_SEPARATRIX_CUSP_TOPOLOGY,True,5,3,3,4,False,True,0.0050099198814601365;0.010300946862410558;0.015589786965234451,0.24319999424563768;0.5000459641946873;0.7567857750113811,0.0050099198814601365;0.0052910269809504215;0.005288840102823893;0.002126213034765548,1.0,1.4468504958706512,0.5681321238383101,0.6331832008094764,0.02642062148868634,0.6785610053250253,8.351949717993242e-06,9.500580296539947e-06,0.0018,0.0206,0.00515,4
