design_id,stage_count,x_w,wall_radius_m,stage_pitch_m,source_strength_scale,l1a_axis_null_count,p2_axis_null_count,l1a_wall_cusp_count,p2_wall_cusp_count,l1a_cell_count,p2_cell_count,count_agreement_strict,count_agreement_boundary_tolerant,cusp_bijection,matched_cusp_count,max_cusp_shift_m,max_cusp_shift_over_tolerance,cusp_position_tolerance_m,max_channel_axis_null_shift_m,peak_wall_b_ratio_p2_over_l1a,peak_wall_b_ratio_unscaled,axis_peak_b_ratio_p2_over_l1a,cusp_wall_b_ratios,l1a_min_rho_conservative,p2_min_rho_conservative,rho_conservative_ratios,l1a_hemp_like,p2_hemp_like,p2_level0_dofs,p2_level1_dofs,p2_all_levels_converged,p2_discretisation_max_cusp_shift_m,sampling_stable,p2_total_seconds,peak_rss_bytes
l1a-gs-v3-000-78dcc2bb4c,3,2.736480661901019,0.0030888981118550873,0.0035461824199956027,0.9101228712475858,2,4,2,2,3,3,True,True,True,2,0.00024427105058578893,0.5411543274515939,0.0004513888888888889,0.00041649239075030545,1.3281392003156878,1.4592965876080994,1.258824053830233,1.255545994268275;1.2533091289010212,1.512606292621774,1.5091065050071661,0.9983964757852763;0.9895050355959639,True,True,24369,96841,True,1.3387070487633213e-06,True,45.39500329998555,110333952
l1a-gs-v3-005-0e7f21e31d,5,2.6143467784056313,0.0041835034999166965,0.0050272075495740864,0.8000154717825353,4,6,4,4,5,5,True,True,True,4,0.00033373592219285327,0.638194130253743,0.0005229379374895871,0.0007210008860295911,1.1106550922201985,1.3882920160850376,1.0357128944982597,1.100789880133267;1.17226718544906;1.1819237761039716;1.1077418373736478,1.6350748461654772,1.7378115629151702,1.0628330360476328;1.2300965365771375;1.2402230421593827;1.0598508574421766,True,True,116883,466005,True,1.3177890877563193e-06,True,359.57431050000014,178368512
l1a-gs-v3-015-3ce63a512e,4,2.247333063658038,0.0037865767790208338,0.005293332787914551,0.8491373418364674,5,5,3,3,4,4,True,True,True,3,0.00017420589545266707,0.3680493609274491,0.0004733220973776042,0.00021646801594751158,1.1182379360051262,1.3169105642988952,1.1140779861028884,1.211703582226828;1.1455745142514493;1.2131030333973911,1.633051121594988,1.776153840825862,1.087629050516867;1.0825899042838698;1.0829184874359101,True,True,90023,358773,True,9.91588775681629e-07,True,201.59742710000137,177074176
l1a-gs-v3-020-b6aa9b10ad,3,3.0290523941991596,0.0035788541654255823,0.003711821550496097,1.0203930442919955,2,4,2,2,3,3,True,True,True,2,0.00032089962465348034,0.7109160915400179,0.0004513888888888889,0.0007146524555075072,1.390105647738947,1.3623237197814086,1.3165917903283104,1.2491746103904504;1.2653075898594446,1.6743500396115267,1.5922764368893776,0.9500945218664868;0.9509818133720763,True,True,46483,184997,True,7.679270188562515e-07,True,109.41888009998365,158978048
l1a-gs-v3-028-f012c0bf33,3,2.3278689580535956,0.0033894159514602507,0.004574211196995748,1.0393013359280303,4,4,2,2,3,3,True,True,True,2,0.0003494751149571247,0.7742217931357839,0.0004513888888888889,0.0005148556905131135,1.0694497056626056,1.02900830461038,1.1676886282852625,1.1239239560083638;1.1352869036873248,1.5150770513776666,1.463778208091294,0.9625202547864437;0.9661410993983928,True,False,58823,81607,True,5.129091231147187e-07,True,54.21998699998949,154640384
l1a-gs-v3-036-4a814065a1,3,3.2423969622885394,0.004057197596011974,0.003931061591174512,0.8721534102456644,2,2,2,2,3,3,True,True,True,2,0.00034766667677286773,0.6855306768684019,0.0005071496995014968,0.0010724508771368093,1.2833290039287306,1.4714487025479244,1.20691523907059,1.1664222953032632;1.1521874561469483,1.7165282086232332,1.6590557945933126,0.9679237368121731;0.942536584332938,True,True,35409,50037,True,6.259110074064225e-07,True,28.299127299978863,148992000
l1a-gs-v3-048-aabacb3a59,3,2.5136864796859926,0.0033214920867976616,0.004151184017246123,0.7833678826573305,2,4,2,2,3,3,True,True,True,2,0.0003015300308307524,0.6680049913788976,0.0004513888888888889,0.0004685912108400407,1.2139514411406562,1.5496568955861525,1.2191727872564373,1.2072153629802045;1.2155392732272574,1.5317379253022543,1.5167783005902962,0.9902335611955249;0.9898971904315697,True,True,94015,374357,True,6.397047139852785e-07,True,352.70786629998474,201662464
l1a-gs-v3-056-effcbc8686,4,2.8171231985116005,0.0038224836443987442,0.004262748090695823,1.2762742091319526,3,5,3,3,4,4,True,True,True,3,7.315789926512495e-05,0.153110712449643,0.00047781045554984303,5.5294052869758054e-05,1.195183085309595,0.9364626165426386,1.0573396877204808,1.2584450404234013;1.254131839889187;1.25847412612251,1.9929179128300298,2.371969663579789,1.1901993796681214;1.0847870375921822;1.1851174052824809,True,True,66679,265621,True,1.3280629942609423e-06,True,139.28659000000334,193224704
l1a-gs-v3-063-f3fd134978,3,2.2946627909369623,0.0040246448616017005,0.0055100883582781535,0.9801895988173783,4,4,2,2,3,3,True,True,True,2,0.00032872500064550815,0.6534241145732982,0.0005030806077002126,0.0004967045587837282,0.9294601238726473,0.948245242547016,0.9766238209161009,1.0560517030649614;1.0547158205359815,1.648845271691924,1.7829442820957495,1.081329044456805;1.0805887664724623,True,True,58269,232049,True,1.0469617558565847e-06,True,128.76364009999088,192057344
l1a-gs-v3-068-71057b61d4,3,3.0878267857984945,0.0034536961748017347,0.003513832634780556,1.0678759936825373,2,4,2,2,3,3,True,True,True,2,0.00020572015388202166,0.4557492639847864,0.0004513888888888889,0.0003809720568884595,1.279765775161737,1.1984217106974233,1.345591831654561,1.3424434635727949;1.3584958689132551,2.1916932721205966,2.2034755515547735,0.9977337877733345;1.0053758797291816,True,True,58475,232773,True,9.796548468832267e-07,True,150.71399299998302,191041536
