case_id,design_id,sweep_index,batch,representative,classification,stage_count_selector,stage_pitch_m,magnet_axial_fraction,chamber_outer_radius_m,dielectric_thickness_m,radial_clearance_m,magnet_radial_thickness_m,source_strength_scale,exit_length_fraction,exit_expansion_descriptor,first_polarity_selector,wall_radius_m,chamber_length_m,injector_length_m,exit_start_m,exit_length_m,exit_outer_radius_m,stage_count,stage_pitch_represented_m,has_divergent_exit,bore_max_b_t,centreline_mid_abs_bz_t,centreline_abs_bz_peak_t,minimum_mirror_ratio,stage_gradient_rms_t_per_m,field_energy_j,axis_cusp_count,axis_null_count,interpolation_b_relative_rms,cross_resolution_b_relative_rms,trials_2N,p_wall_2N,p_wall_2N_lower,p_wall_2N_upper,p_escape_2N,p_reflected_2N,p_timeout_2N,p_wall_N,convergence_change,converged,p_wall_2N_cell1,p_wall_2N_cell2,p_wall_2N_cell3,p_wall_2N_cell4,escape_upstream_anode_plane_2N,escape_exit_plane_2N,escape_divergent_section_radial_2N,escape_unclassified_2N,reflections_N,reflections_2N,timeouts_2N,mu_variation_median,mu_variation_max,tolerance_close_share,steps_median_2N,structural_gates_passed,gates_passed,accepted_field_identity_sha256,orbit_artifact_2N_sha256
l1a-gs-v2-000-48d2ccedd5,48d2ccedd50f4d4780dcbc5d0b1af55ccd7cd26324420ac2e241e43bc6a74d20,0,primary,True,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.0,0.0038,0.48,0.0014,0.0005,0.00035,0.0022,0.75,0.0,0.0,0.0,0.0014,0.0114,0.000912,0.0114,0.0,0.0014,3,0.0038,False,0.24490004431543624,0.11772427843379328,0.11772427843379328,4.366087334148353,9.942928375353398,0.012331729557738617,3,4,0.008082754142997702,0.0048453903870952835,512,0.818359375,0.78263299633789,0.8493441245885558,0.01171875,0.169921875,0.0,0.818359375,0.0,True,0.9921875,0.75,0.5625,0.96875,1,5,0,0,87,87,0,0.4246288741958739,4.824306473931794,0.42578125,439.0,True,True,6efca2634f0b19011a6c983bcb9b5728dbc353bfef2f37da46d220cdd93b7473,523375271d67e02b6284f0274bae871982dc8f587a0aeb53124fc73462c1c914
l1a-gs-v2-001-0830ddda40,0830ddda40f52db1ff87791cc15471c5d74dada8e035f0abe31a1530716c4348,1,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1.0,0.0065,0.72,0.0022,0.0009,0.0008,0.004,1.3,0.28,1.0,1.0,0.0022,0.0325,0.0026000000000000003,0.0234,0.0091,0.0033,5,0.0065,True,0.2978735747575628,0.18287866825287954,0.21818354971051954,5.352001785611754,9.567850521829104,0.9537912904428748,5,6,0.0036540761444286383,,512,0.75,0.71072470186089,0.7855518102776686,0.125,0.125,0.0,0.75,0.0,True,0.5,1.0,1.0,0.5,32,0,32,0,64,64,0,0.12921786577899702,0.6491829877731914,0.396484375,952.5,True,True,2dcb3b38c3f221837fc78410fd7b7593610f95cbadcf7ff3a0e13790f04b3ff6,c6df1fddd7ac3b36e3456403956993950c484ddaf07c3c80d99b4073928b0748
l1a-gs-v2-002-48c4d2e317,48c4d2e31721b5eb184862751e07baca19ec2b81b42dfbb6c20b614ee9659949,2,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,0.0028840000000000003,0.002385,4,0.00515,True,0.23633055710488796,0.0020451311002856955,0.15482988886940494,4.890300068242332,9.710547226683257,0.15548126713736754,4,5,0.005517986030914904,,512,0.658203125,0.6160768849569956,0.6979730953806861,0.080078125,0.26171875,0.0,0.658203125,0.0,True,0.625,1.0,0.75,0.2578125,16,25,0,0,134,134,0,0.2279170272176561,7.818791805449634,0.353515625,614.0,True,True,8ee48789281ab24a5e416ca75f0627ab9b4762230b5a64cc34ad2f71906fe2c3,b4b415b971731e9cf9621aa502a87640a66c192fee3fadfb198fbd0aae888b94
l1a-gs-v2-003-b98d8da7bf,b98d8da7bf54e83e8c9fe1d1750ff604a5d8e7d87c6d86e0675f8a13d0e61cef,3,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.0,0.0065,0.48,0.0022,0.0005,0.0008,0.0022,1.3,0.0,1.0,0.0,0.0022,0.0195,0.00156,0.0195,0.0,0.0022,3,0.0065,False,0.27765149990249494,0.17409470434276927,0.17409470434276927,6.6775878728582745,5.692369692195868,0.11921537910920166,3,4,0.004195563780468064,,512,0.78515625,0.7475262289010062,0.8185391677570372,0.0,0.21484375,0.0,0.78515625,0.0,True,1.0,0.75,0.59375,0.796875,0,0,0,0,110,110,0,0.2250617406139948,4.852562801814383,0.388671875,792.5,True,True,e7193869143a82144f84ca8ad6c6333cfd3e67d9385451c93c4ded2e508295ac,2bc2d5d52f32c883fe23727584651173d2a6c66290fe89a7de1686e0187752e0
l1a-gs-v2-004-72b1c5ba70,72b1c5ba70dda77968f225021cdd8eb66bfab17b1a901bfc6ec33fa54e3fbf88,4,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1.0,0.0038,0.72,0.0014,0.0009,0.00035,0.004,0.75,0.28,0.0,1.0,0.0014,0.019000000000000003,0.0015200000000000003,0.013680000000000001,0.005320000000000001,0.0016099999999999997,5,0.0038000000000000004,True,0.24485934136581272,0.1119445234555539,0.148158432353184,4.147431481361502,15.473037977225376,0.08359442688465554,5,6,0.008713927067656722,,512,0.736328125,0.6965035085158032,0.7726328818651779,0.125,0.138671875,0.0,0.736328125,0.0,True,0.4453125,1.0,1.0,0.5,32,0,32,0,71,71,0,0.28888064981512274,2.308958870138155,0.439453125,480.5,True,True,08d372d05630929e576ff64c1c9b97e94d67c92be9b67d7258c076ee5ebb766f,38ee4869d13fc7e303239eaaa360503c4529f5c31aff341daa3fe83c41102a28
l1a-gs-v2-005-942c2d458e,942c2d458eb750877af39acae13e1ce9d51c59bed8d4b34f5175476fe9b2c7a5,5,primary,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.0,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.01545,0.0012360000000000001,0.013287,0.0021630000000000004,0.002385,3,0.00515,True,0.25136043329621177,0.1706416173679809,0.1706416173679809,4.420912827991588,9.781125169291853,0.11849119407199991,3,4,0.004992526883213129,,512,0.74609375,0.7066566039054261,0.7818655877309675,0.0703125,0.18359375,0.0,0.74609375,0.0,True,0.96875,0.75,0.765625,0.5,4,16,16,0,94,94,0,0.21295491610764544,1.4516052044178425,0.359375,665.0,True,True,fe674f8cb579de5b4e79c9c9dcba030e8c8d335c888eaab8e0ce8864ba6873b9,ba32ba5d016f82a125572263da12954978086ba858f5ce88744afc7a8d962baf
l1a-gs-v2-006-110b30a28a,110b30a28afe152249e2dc23cfc80e1c296e8c2a8635ed5eff847249447db848,6,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1.0,0.00515,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.025750000000000002,0.00206,0.022145,0.0036050000000000006,0.002385,5,0.00515,True,0.24277317910055363,0.13783999531901692,0.16141582188042528,5.00068008478693,7.402012056218545,0.1926336815053266,5,6,0.005417313375284088,,512,0.623046875,0.5802995498210187,0.663961545997178,0.0625,0.314453125,0.0,0.623046875,0.0,True,0.296875,0.75,0.6953125,0.75,32,0,0,0,161,161,0,0.3037491423978549,9.67243111184451,0.33203125,479.0,True,True,7958758f2f3e4ebd1f47a35cba7bb7450ae2ff74bb58260a2b47aedf39f874c5,6ada1b9c9b7568d4be90aed896e4923fcc0fd54d388d057c688940c41c007000
l1a-gs-v2-007-9ea145255a,9ea145255a66390ca9795454ade96a97990c36a6a90658eab87a1df16eaab158,7,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5,0.0038,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0152,0.001216,0.013072,0.002128,0.002385,4,0.0038,True,0.18613680587812445,0.0020223719798412305,0.09864817066885909,4.885832112026167,9.60090560093401,0.09178858344789945,4,5,0.008025522625997159,,512,0.6484375,0.6061145993456434,0.6885495797366259,0.109375,0.2421875,0.0,0.6484375,0.0,True,0.5078125,1.0,0.8203125,0.265625,33,23,0,0,124,124,0,0.30474891019590145,9.904453291159369,0.35546875,407.0,True,True,0c7a2cff29a30fefae3b491dda6042021e55d18fa4281d0bb34d503e6276596c,1d24d7ce1d0a633d4949808b7f76f0ea0c3b0fd6ec736c91b9f80e84e575bcb5
l1a-gs-v2-008-b45d1d67d2,b45d1d67d2690790a100a0b2ff214c0320158a6ccdec188be819f22f1980a5e1,8,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5,0.0065,0.6,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.026,0.00208,0.022359999999999998,0.00364,0.002385,4,0.0065,True,0.2640529117523301,0.0012148645749150522,0.20167499169317957,6.177169818300053,5.673412785787063,0.22453395090189496,4,5,0.004006445995268615,,512,0.69140625,0.6500941921096665,0.7298675124964175,0.052734375,0.255859375,0.0,0.69140625,0.0,True,0.75,1.0,0.75,0.265625,0,27,0,0,131,131,0,0.202293948541806,7.551996639357449,0.353515625,784.0,True,True,6c265e9cf62a674f26bfbc4f3a3a7b97dc8029c8960774813151b709f4c5008a,a4f9676e03fae46679d5dd159f177795465391f41e7240bff8b2b8dfb7e8d3d4
l1a-gs-v2-009-4d592518ca,4d592518ca28332d669b5d162a270eb1868ac3ec8458dab76be7b00fd48e8602,9,extension,False,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0.5,0.00515,0.48,0.0018,0.0007,0.000575,0.0031000000000000003,1.025,0.14,0.5,0.5,0.0018,0.0206,0.0016480000000000002,0.017716,0.0028840000000000003,0.002385,4,0.00515,True,0.20928809950152485,0.00155756038826069,0.1315265278487747,5.068949843139245,7.710714859303363,0.11424693230472523,4,5,0.0054049341020697165,,512,0.6640625,0.6220634071881622,0.7036180539027669,0.07421875,0.26171875,0.0,0.6640625,0.0,True,0.625,1.0,0.75,0.28125,16,22,0,0,134,134,0,0.2723494730399234,10.475554407038162,0.33203125,528.5,True,True,90d02dee605b5fc69a793cb78e8b8951b668e13f667a2a72beea37c705ce06ab,8a41af9061f906c9b2a0878e1857016d18a225b39ca5af503735de8c6167d13c
