design_key,design_id,set_id,label,sweep_index,representative,cell_id,cell_index,kind,position_class,z_start_m,z_end_m,length_m,launch_z_m,wall_area_m2,start_cusp_z_m,end_cusp_z_m,length_over_pitch,wall_mirror_ratio,axis_mirror_ratio,wall_b_min_t,axis_bz_peak_t,boundary_ambiguous,short_cell,launch_plane_inside_injector_zone,stage_count_selector,stage_pitch_m,magnet_axial_fraction,chamber_outer_radius_m,dielectric_thickness_m,radial_clearance_m,magnet_radial_thickness_m,source_strength_scale,exit_length_fraction,exit_expansion_descriptor,first_polarity_selector,wall_radius_m,chamber_length_m,injector_length_m,exit_start_m,stage_count,stage_pitch_represented_m,has_divergent_exit,bore_max_b_t,interpolation_b_relative_rms,cross_resolution_b_relative_rms,n_stage1,wall_stage1,wilson_width_stage1,topped_up,n_stage2,wall_stage2,n_final,wall_final,reflected_final,escape_final,timeout_final,p_wall,p_wall_lower,p_wall_upper,p_reflected,p_escape,p_timeout,wilson_width_final,binomial_floor,jeffreys_floor,surrogate_ready,n_control,wall_N_control,wall_2N_control,delta_p_control,discordant_control,design_p_wall_area_weighted,design_p_wall_launch_weighted,design_control_delta_p,design_timestep_passed,v1_p_wall_2N,sealed,structural_gates_passed,accepted_field_identity_sha256,catalogue_accepted_field_identity_sha256
divergent-exit-stack,divergent-exit-stack,p2_divergent_exit,P2_QUALIFIED_FIELD_SCREENING_LAUNCH_DESIGN,,True,cell-01,0,anode_partial,anode_side,0.001,0.006028062818933392,0.005028062818933392,0.003514031409466696,6.318450085499653e-05,,0.006028062818933392,0.838010469822232,1.0012526323272528,0.5963310525673295,0.10757052537001463,0.18061322016329526,False,False,False,,,,,,,,,,,,0.002,0.024,0.0015,0.018,4,0.006,True,0.23162909239853657,0.000249600618024203,0.0003879475721274977,128,76,0.1677571354148486,True,384,234,512,310,0,202,0,0.60546875,0.5624989313818705,0.646867722176584,0.0,0.39453125,0.0,0.08436879079471349,0.02159989252240321,0.02160185121145345,False,64,43,43,0.0,0,0.881946005909565,0.51015625,0.0,True,,True,True,a1fe8c1ed537141f9dcf209186c1e1f3bd6d3ed5ab7db035c6853b27b7909418,c896118db002006acc5b217e1f7d74c83c70934cf1201a646566e9f397bc1aa5
divergent-exit-stack,divergent-exit-stack,p2_divergent_exit,P2_QUALIFIED_FIELD_SCREENING_LAUNCH_DESIGN,,True,cell-02,1,interior,interior,0.006028062818933392,0.012000005466825737,0.005971942647892345,0.009014034142879565,7.504564460111268e-05,0.006028062818933392,0.012000005466825737,0.9953237746487241,0.9999999999999999,0.6104166118562805,0.10629171593542193,0.17412978918150374,False,False,False,,,,,,,,,,,,0.002,0.024,0.0015,0.018,4,0.006,True,0.23162909239853657,0.000249600618024203,0.0003879475721274977,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.881946005909565,0.51015625,0.0,True,,True,True,a1fe8c1ed537141f9dcf209186c1e1f3bd6d3ed5ab7db035c6853b27b7909418,c896118db002006acc5b217e1f7d74c83c70934cf1201a646566e9f397bc1aa5
divergent-exit-stack,divergent-exit-stack,p2_divergent_exit,P2_QUALIFIED_FIELD_SCREENING_LAUNCH_DESIGN,,True,cell-03,2,interior,interior,0.012000005466825737,0.01797206288202682,0.005972057415201083,0.014986034174426278,7.504708680964869e-05,0.012000005466825737,0.01797206288202682,0.9953429025335138,1.0,0.6104008074795619,0.10629171593542192,0.17413429771549063,True,False,False,,,,,,,,,,,,0.002,0.024,0.0015,0.018,4,0.006,True,0.23162909239853657,0.000249600618024203,0.0003879475721274977,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.881946005909565,0.51015625,0.0,True,,True,True,a1fe8c1ed537141f9dcf209186c1e1f3bd6d3ed5ab7db035c6853b27b7909418,c896118db002006acc5b217e1f7d74c83c70934cf1201a646566e9f397bc1aa5
divergent-exit-stack,divergent-exit-stack,p2_divergent_exit,P2_QUALIFIED_FIELD_SCREENING_LAUNCH_DESIGN,,True,cell-04,3,exit_partial,exit_side,0.01797206288202682,0.018,2.793711797317855e-05,0.01798603144101341,3.510681783480364e-07,0.01797206288202682,,0.004656186328863092,1.0013798437686414,36.93610790677282,0.10754743384395997,0.002915733102475456,True,True,False,,,,,,,,,,,,0.002,0.024,0.0015,0.018,4,0.006,True,0.23162909239853657,0.000249600618024203,0.0003879475721274977,128,21,0.12793475957787687,True,384,66,512,87,350,75,0,0.169921875,0.13987724473920465,0.20488267282785466,0.68359375,0.146484375,0.0,0.06500542808865001,0.016597747364364195,0.01662269602507287,True,64,7,7,0.0,0,0.881946005909565,0.51015625,0.0,True,,True,True,a1fe8c1ed537141f9dcf209186c1e1f3bd6d3ed5ab7db035c6853b27b7909418,c896118db002006acc5b217e1f7d74c83c70934cf1201a646566e9f397bc1aa5
l1a-gs-v2-000-48d2ccedd5,48d2ccedd50f4d4780dcbc5d0b1af55ccd7cd26324420ac2e241e43bc6a74d20,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0,True,cell-01,0,anode_partial,anode_side,0.0,0.003627979849237588,0.003627979849237588,0.001813989924618794,3.1913377556862515e-05,,0.003627979849237588,0.9547315392730495,1.8627616196351104,0.6322216033941405,0.03189423538925548,0.09397236230422625,False,False,False,0.0,0.0038,0.48,0.0014,0.0005,0.00035,0.0022,0.75,0.0,0.0,0.0,0.0014,0.0114,0.000912,0.0114,3,0.0038,False,0.24490004431543624,0.008082754142997702,0.0048453903870952835,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.9975086763922457,0.9973958333333334,0.0,True,0.818359375,True,True,6efca2634f0b19011a6c983bcb9b5728dbc353bfef2f37da46d220cdd93b7473,8d33cf6f5bd5c9828825b32f6279ab63fd3dc2c67d6d1f0d209ad08e1d68242b
l1a-gs-v2-000-48d2ccedd5,48d2ccedd50f4d4780dcbc5d0b1af55ccd7cd26324420ac2e241e43bc6a74d20,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0,True,cell-02,1,interior,interior,0.003627979849237588,0.007764660591564771,0.004136680742327183,0.0056963202204011795,3.638814432495606e-05,0.003627979849237588,0.007764660591564771,1.0886001953492586,1.0009498820496954,0.5038277468422078,0.05935497734317464,0.11791997948322575,False,False,False,0.0,0.0038,0.48,0.0014,0.0005,0.00035,0.0022,0.75,0.0,0.0,0.0,0.0014,0.0114,0.000912,0.0114,3,0.0038,False,0.24490004431543624,0.008082754142997702,0.0048453903870952835,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.9975086763922457,0.9973958333333334,0.0,True,0.818359375,True,True,6efca2634f0b19011a6c983bcb9b5728dbc353bfef2f37da46d220cdd93b7473,8d33cf6f5bd5c9828825b32f6279ab63fd3dc2c67d6d1f0d209ad08e1d68242b
l1a-gs-v2-000-48d2ccedd5,48d2ccedd50f4d4780dcbc5d0b1af55ccd7cd26324420ac2e241e43bc6a74d20,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,0,True,cell-03,2,exit_partial,exit_side,0.007764660591564771,0.0114,0.0036353394084352297,0.009582330295782385,3.197811562076763e-05,0.007764660591564771,,0.956668265377692,1.8723998240176192,0.6385345138851382,0.03177517660267497,0.09317559784979719,False,False,False,0.0,0.0038,0.48,0.0014,0.0005,0.00035,0.0022,0.75,0.0,0.0,0.0,0.0014,0.0114,0.000912,0.0114,3,0.0038,False,0.24490004431543624,0.008082754142997702,0.0048453903870952835,128,127,0.04154582754598635,False,0,0,128,127,0,1,0,0.9921875,0.9570737405611394,0.9986195681071257,0.0,0.0078125,0.0,0.04154582754598635,0.007781922583256459,0.009475584891282928,True,16,16,16,0.0,0,0.9975086763922457,0.9973958333333334,0.0,True,0.818359375,True,True,6efca2634f0b19011a6c983bcb9b5728dbc353bfef2f37da46d220cdd93b7473,8d33cf6f5bd5c9828825b32f6279ab63fd3dc2c67d6d1f0d209ad08e1d68242b
l1a-gs-v2-001-0830ddda40,0830ddda40f52db1ff87791cc15471c5d74dada8e035f0abe31a1530716c4348,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1,False,cell-01,0,anode_partial,anode_side,0.0,0.006266245639016116,0.006266245639016116,0.003133122819508058,8.661836156653728e-05,,0.006266245639016116,0.9640377906178641,1.0319133426970881,0.6117829358342195,0.11678046692103884,0.1969772527536971,False,False,False,1.0,0.0065,0.72,0.0022,0.0009,0.0008,0.004,1.3,0.28,1.0,1.0,0.0022,0.0325,0.0026000000000000003,0.0234,5,0.0065,True,0.2978735747575628,0.0036540761444286383,0.002345603596443936,128,99,0.1437943037891405,True,384,298,512,397,0,115,0,0.775390625,0.7372680468181392,0.8094115485844917,0.0,0.224609375,0.0,0.07214350176635254,0.018443325544829418,0.01845895933289763,True,64,52,52,0.0,0,0.8534795568068271,0.71015625,0.0,True,0.75,True,True,2dcb3b38c3f221837fc78410fd7b7593610f95cbadcf7ff3a0e13790f04b3ff6,8454e0b2dd2eb1c81c1591fceec23c039082b60f9146fa3708dd9453d0ee33c0
l1a-gs-v2-001-0830ddda40,0830ddda40f52db1ff87791cc15471c5d74dada8e035f0abe31a1530716c4348,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1,False,cell-02,1,interior,interior,0.006266245639016116,0.013143015997934744,0.006876770358918628,0.00970463081847543,9.505764945601236e-05,0.006266245639016116,0.013143015997934744,1.057964670602866,1.0,0.5520977041688346,0.1205073219822159,0.21827173174653175,False,False,False,1.0,0.0065,0.72,0.0022,0.0009,0.0008,0.004,1.3,0.28,1.0,1.0,0.0022,0.0325,0.0026000000000000003,0.0234,5,0.0065,True,0.2978735747575628,0.0036540761444286383,0.002345603596443936,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.8534795568068271,0.71015625,0.0,True,0.75,True,True,2dcb3b38c3f221837fc78410fd7b7593610f95cbadcf7ff3a0e13790f04b3ff6,8454e0b2dd2eb1c81c1591fceec23c039082b60f9146fa3708dd9453d0ee33c0
l1a-gs-v2-001-0830ddda40,0830ddda40f52db1ff87791cc15471c5d74dada8e035f0abe31a1530716c4348,sweep_v2,SCREENING_L1A_FIELD_TEST_PARTICLE_WALL_LOSS,1,False,cell-03,2,interior,interior,0.013143015997934744,0.019357758291711283,0.006214742293776538,0.016250387144823013,8.590643042996148e-05,0.013143015997934744,0.019357758291711283,0.9561141990425444,1.0043567431321936,0.667441367788447,0.12170200520624336,0.18313553141995648,False,False,False,1.0,0.0065,0.72,0.0022,0.0009,0.0008,0.004,1.3,0.28,1.0,1.0,0.0022,0.0325,0.0026000000000000003,0.0234,5,0.0065,True,0.2978735747575628,0.0036540761444286383,0.002345603596443936,128,128,0.02913695627350843,False,0,0,128,128,0,0,0,1.0,0.9708630437264916,1.0,0.0,0.0,0.0,0.02913695627350843,0.0,0.005492143434474149,True,16,16,16,0.0,0,0.8534795568068271,0.71015625,0.0,True,0.75,True,True,2dcb3b38c3f221837fc78410fd7b7593610f95cbadcf7ff3a0e13790f04b3ff6,8454e0b2dd2eb1c81c1591fceec23c039082b60f9146fa3708dd9453d0ee33c0
