EXTRACT of BLAST-WarpX/warpx-data MCC_cross_sections/Xe ion tables (not verbatim upstream files).
Upstream commit : c42f106f96fe6415c7cc89dd31d1027ff5c8c68e (2021-07-16 'Added MCC xsections for argon and xenon (#2)')
Retrieved (UTC) : 2026-09-04T16:22:15Z
Upstream README (sha256 1022835e125b39e150dc9cf70d6ee73e753c44af1938b920b0c35bb33e57ea80): 'ion neutral isotropic scattering: Piscitelli et al Phys. Rev. E 68, 046408 (2003)';
  'ion back scattering: A. V. Phelps database (available on LxCat) from Piscitelli et al Phys. Rev. E 68, 046408 (2003)'.
Each upstream file: 75000 rows '<energy eV>  <sigma m2>' at 0.01 eV spacing (1e-4, 1.01e-2, ..., 749.99 eV).
Rows below are VERBATIM upstream rows: the first row and, for each grid energy of the v1 spec (16/decade, 0.01-750 eV),
the row at or immediately below it.  Energies are the ion energy for a stationary atom (Phelps' laboratory frame).

FILE ion_scattering.dat  sha256 5f196141e10b5986b2dc1ad017dd4f3c3d417eb6c17ee1189863e668fce874ab  bytes 1875000  rows 75000
1.00000e-04  3.39000e-17
1.01000e-02  3.37318e-18
2.01000e-02  2.39112e-18
3.01000e-02  1.95396e-18
4.01000e-02  1.69289e-18
5.01000e-02  1.51454e-18
6.01000e-02  1.38281e-18
7.01000e-02  1.28039e-18
8.01000e-02  1.19780e-18
9.01000e-02  1.12937e-18
1.10100e-01  1.02166e-18
1.30100e-01  9.39855e-19
1.50100e-01  8.75003e-19
1.70100e-01  8.21954e-19
2.00100e-01  7.57838e-19
2.30100e-01  7.06710e-19
2.70100e-01  6.52285e-19
3.10100e-01  6.08764e-19
3.60100e-01  5.64922e-19
4.10100e-01  5.29365e-19
4.80100e-01  4.89253e-19
5.50100e-01  4.57066e-19
6.40100e-01  4.23717e-19
7.40100e-01  3.94053e-19
8.50100e-01  3.67675e-19
9.90100e-01  3.40691e-19
1.14010e+00  3.17489e-19
1.31010e+00  2.96174e-19
1.52010e+00  2.74956e-19
1.75010e+00  2.56253e-19
2.02010e+00  2.38514e-19
2.34010e+00  2.21606e-19
2.70010e+00  2.06305e-19
3.12010e+00  1.91918e-19
3.60010e+00  1.78666e-19
4.16010e+00  1.66206e-19
4.80010e+00  1.54730e-19
5.54010e+00  1.44026e-19
6.40010e+00  1.34000e-19
7.39010e+00  1.24702e-19
8.53010e+00  1.16071e-19
9.85010e+00  1.08014e-19
1.13701e+01  1.00535e-19
1.31201e+01  9.35904e-20
1.51501e+01  8.70947e-20
1.74901e+01  8.10594e-20
2.01901e+01  7.54450e-20
2.33101e+01  7.02146e-20
2.69201e+01  6.53373e-20
3.10701e+01  6.08175e-20
3.58701e+01  5.66022e-20
4.14101e+01  5.26801e-20
4.78101e+01  4.90275e-20
5.51901e+01  4.56320e-20
6.37101e+01  4.24713e-20
7.35501e+01  3.95283e-20
8.49101e+01  3.67892e-20
9.80301e+01  3.42389e-20
1.13160e+02  3.18679e-20
1.30640e+02  2.96593e-20
1.50820e+02  2.76039e-20
1.74110e+02  2.56914e-20
2.00990e+02  2.39118e-20
2.32030e+02  2.22550e-20
2.67860e+02  2.07131e-20
3.09230e+02  1.92779e-20
3.56980e+02  1.79423e-20
4.12110e+02  1.66991e-20
4.75750e+02  1.55421e-20
5.49210e+02  1.44654e-20
6.34020e+02  1.34632e-20
7.31930e+02  1.25304e-20
END ion_scattering.dat
FILE ion_back_scatter.dat  sha256 1d47da856088f69d6682c55e00a010883803e83f954e8ea3399d2a3212c2cb3b  bytes 1875000  rows 75000
1.00000e-04  2.48728e-21
1.01000e-02  1.36739e-19
2.01000e-02  2.33455e-19
3.01000e-02  3.09571e-19
4.01000e-02  3.70934e-19
5.01000e-02  4.21380e-19
6.01000e-02  4.63600e-19
7.01000e-02  4.99502e-19
8.01000e-02  5.30457e-19
9.01000e-02  5.57460e-19
1.10100e-01  6.02368e-19
1.30100e-01  6.38232e-19
1.50100e-01  6.67498e-19
1.70100e-01  6.91769e-19
2.00100e-01  7.21158e-19
2.30100e-01  7.44304e-19
2.70100e-01  7.68263e-19
3.10100e-01  7.86614e-19
3.60100e-01  8.04094e-19
